date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15125,0.45,0.68,4.49,0.46,,Foil
2026-06-29,1,1,15126,0.1,0.28,1.59,0.17,,Normal
2026-06-29,1,1,15126,0.25,0.59,4.35,0.6,,Foil
2026-06-29,1,1,15127,0.02,0.3,3.0,0.26,,Normal
2026-06-29,1,1,15127,0.4,0.74,1.49,0.8,,Foil
2026-06-29,1,1,15128,0.13,0.42,15.0,0.15,,Normal
2026-06-29,1,1,15128,0.67,1.15,4.5,0.76,,Foil
2026-06-29,1,1,15129,0.02,0.25,4.99,0.12,,Normal
2026-06-29,1,1,15129,0.49,0.69,3.98,0.68,0.69,Foil
2026-06-29,1,1,15130,0.2,0.47,4.99,0.33,,Normal
2026-06-29,1,1,15130,6.15,7.05,14.97,5.87,,Foil
2026-06-29,1,1,15131,0.1,0.5,12.69,2.13,0.21,Normal
2026-06-29,1,1,15131,0.4,0.75,1.34,0.49,,Foil
2026-06-29,1,1,15132,0.2,0.4,1.7,0.4,0.26,Normal
2026-06-29,1,1,15132,1.25,2.95,5.06,2.95,3.0,Foil
2026-06-29,1,1,15133,0.18,0.32,4.99,0.27,0.3,Normal
2026-06-29,1,1,15133,0.51,0.84,2.0,0.79,,Foil
2026-06-29,1,1,15134,0.09,0.31,4.99,0.32,,Normal
2026-06-29,1,1,15134,0.35,0.99,4.51,0.93,0.93,Foil
2026-06-29,1,1,15135,0.16,0.4,10.24,0.24,0.4,Normal
2026-06-29,1,1,15135,1.99,5.2,7.99,4.7,,Foil
2026-06-29,1,1,15136,0.01,0.25,4.99,0.03,,Normal
2026-06-29,1,1,15136,0.22,0.5,2.06,0.69,,Foil
2026-06-29,1,1,15137,7.0,10.13,49.4,9.98,,Normal
2026-06-29,1,1,15137,28.03,34.25,47.5,30.63,,Foil
2026-06-29,1,1,15138,0.03,0.3,1.7,0.21,0.15,Normal
2026-06-29,1,1,15138,0.36,0.79,2.49,0.34,0.69,Foil
2026-06-29,1,1,15139,1.14,2.9,9.99,3.99,,Normal
2026-06-29,1,1,15139,24.99,24.99,26.0,22.99,24.99,Foil
2026-06-29,1,1,15140,0.05,0.35,3.0,0.19,0.23,Normal
2026-06-29,1,1,15140,1.02,1.37,2.74,1.02,,Foil
2026-06-29,1,1,15141,0.01,0.25,3.0,0.06,,Normal
2026-06-29,1,1,15141,0.36,0.5,1.99,0.33,0.4,Foil
2026-06-29,1,1,15142,0.02,0.24,3.0,0.1,,Normal
2026-06-29,1,1,15142,0.36,0.72,2.4,0.52,,Foil
2026-06-29,1,1,15143,0.01,0.25,999.0,0.04,,Normal
2026-06-29,1,1,15143,0.25,0.44,1.17,0.4,0.29,Foil
2026-06-29,1,1,15144,0.4,1.01,20.0,0.5,,Normal
2026-06-29,1,1,15144,1.99,6.98,9.8,6.99,,Foil
2026-06-29,1,1,15145,0.02,0.25,4.77,0.05,,Normal
2026-06-29,1,1,15145,0.22,0.5,1.0,,0.4,Foil
2026-06-29,1,1,15146,9.99,14.29,39.99,13.61,,Normal
2026-06-29,1,1,15146,68.99,103.99,250.0,53.83,,Foil
2026-06-29,1,1,15147,0.83,1.87,19.99,1.47,1.27,Normal
2026-06-29,1,1,15147,29.65,29.95,97.97,32.12,,Foil
2026-06-29,1,1,15148,0.01,0.25,2.26,0.05,0.02,Normal
2026-06-29,1,1,15148,0.25,0.43,0.99,0.35,0.39,Foil
2026-06-29,1,1,15149,0.04,0.25,3.0,0.15,,Normal
2026-06-29,1,1,15149,0.24,0.5,2.06,,,Foil
2026-06-29,1,1,15150,28.5,33.67,42.0,27.95,,Normal
2026-06-29,1,1,15150,90.0,124.16,199.99,71.27,199.99,Foil
2026-06-29,1,1,15151,22.98,27.12,38.48,10.43,,Normal
2026-06-29,1,1,15151,192.99,195.0,324.53,50.34,,Foil
